nivel,codigo,nombre,parent
segmento,10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",
segmento,11,"Material Mineral, Textil y  Vegetal y Animal No Comestible",
segmento,12,Material Químico incluyendo Bioquímicos y Materiales de Gas,
segmento,13,"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos",
segmento,14,Materiales y Productos de Papel,
segmento,15,"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos",
segmento,20,Maquinaria y Accesorios de Minería y Perforación de Pozos,
segmento,21,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna",
segmento,22,Maquinaria y Accesorios para Construcción y Edificación,
segmento,23,Maquinaria y Accesorios para Manufactura y Procesamiento Industrial,
segmento,24,"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales",
segmento,25,"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes",
segmento,26,Maquinaria y Accesorios para Generación y Distribución de Energía,
segmento,27,Herramientas y Maquinaria General,
segmento,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",
segmento,31,Componentes y Suministros de Manufactura,
segmento,32,Componentes y Suministros Electrónicos,
segmento,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",
segmento,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,
segmento,41,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas",
segmento,42,"Equipo Médico, Accesorios y Suministros",
segmento,43,Difusión de Tecnologías de Información y Telecomunicaciones,
segmento,44,"Equipos de Oficina, Accesorios y Suministros",
segmento,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",
segmento,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",
segmento,47,Equipos de Limpieza y Suministros,
segmento,48,"Maquinaria, Equipo y Suministros para la Industria de Servicios",
segmento,49,"Equipos, Suministros y Accesorios para Deportes y Recreación",
segmento,50,"Alimentos, Bebidas y Tabaco",
segmento,51,Medicamentos y Productos Farmacéuticos,
segmento,52,"Artículos Domésticos, Suministros y Productos Electrónicos de Consumo",
segmento,53,"Ropa, Maletas y Productos de Aseo Personal",
segmento,54,"Productos para Relojería, Joyería y Piedras Preciosas",
segmento,55,"Publicaciones Impresas, Publicaciones Electrónicas y Accesorios",
segmento,56,"Muebles, Mobiliario y Decoración",
segmento,60,"Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros",
segmento,70,"Servicios de Contratacion Agrícola, Pesquera, Forestal y de Fauna",
segmento,71,"Servicios de Minería, Petróleo y Gas",
segmento,72,"Servicios de Edificación, Construcción de Instalaciones y Mantenimiento",
segmento,73,Servicios de Producción Industrial y Manufactura,
segmento,76,"Servicios de Limpieza, Descontaminación y Tratamiento de Residuos",
segmento,77,Servicios Medioambientales,
segmento,78,"Servicios de Transporte, Almacenaje y Correo",
segmento,80,"Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos",
segmento,81,"Servicios Basados en Ingeniería, Investigación y Tecnología",
segmento,82,"Servicios Editoriales, de Diseño, de Artes Graficas y Bellas Artes",
segmento,83,Servicios Públicos y Servicios Relacionados con el Sector Público,
segmento,84,Servicios Financieros y de Seguros,
segmento,85,Servicios de Salud,
segmento,86,Servicios Educativos y de Formación,
segmento,90,"Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento",
segmento,91,Servicios Personales y Domésticos,
segmento,92,"Servicios de Defensa Nacional, Orden Publico, Seguridad y Vigilancia",
segmento,93,Servicios Políticos y de Asuntos Cívicos,
segmento,94,Organizaciones y Clubes,
segmento,95,"Terrenos, Edificios, Estructuras y Vías",
familia,1010,Animales vivos,10
familia,1011,Productos para animales domésticos,10
familia,1012,Comida de animales,10
familia,1013,Recipientes y hábitat para animales,10
familia,1014,Productos de talabartería y arreo,10
familia,1015,"Semillas, bulbos, plántulas y esquejes",10
familia,1016,Productos de floricultura y silvicultura,10
familia,1017,Fertilizantes y nutrientes para plantas y herbicidas,10
familia,1019,Productos para el control de plagas,10
familia,1020,Rosales vivos,10
familia,1021,Plantas vivas  de especies o variedades de flores altas,10
familia,1022,Plantas vivas  de especies o variedades de flores bajas,10
familia,1023,Crisantemos vivos,10
familia,1024,Claveles vivos,10
familia,1025,Orquídeas vivas,10
familia,1030,Rosas frescas cortadas,10
familia,1031,Bouquets cortados frescos  de especies o variedades de flores altas,10
familia,1032,Bouquets cortados frescos  de especies o variedades de flores bajas,10
familia,1033,Crisantemos cortados frescos,10
familia,1034,Bouquets florales cortados frescos,10
familia,1035,Claveles cortados frescos,10
familia,1036,Orquídeas cortadas frescas,10
familia,1040,Rosas cortadas secas,10
familia,1041,Bouquets cortados secos  de especies o variedades de flores altas,10
familia,1042,Bouquets cortados secos  de especies o variedades de flores bajas,10
familia,1043,Crisantemos cortados secos,10
familia,1044,Claveles cortados secos,10
familia,1045,Orquídeas cortadas secas,10
familia,1050,Follaje cortado fresco,10
familia,1110,"Minerales, minerales metálicos y metales",11
familia,1111,Tierra y piedra,11
familia,1112,Productos no comestibles de planta y silvicultura,11
familia,1113,Productos animales no comestibles,11
familia,1114,Chatarra y materiales de desecho,11
familia,1115,"Fibra, hilos e hilados",11
familia,1116,Tejidos y materiales de cuero,11
familia,1117,Aleaciones,11
familia,1118,Óxido metálico,11
familia,1119,Desechos metálicos y chatarra,11
familia,1213,Materiales explosivos,12
familia,1214,Elementos y gases,12
familia,1216,Aditivos,12
familia,1217,Colorantes,12
familia,1218,Ceras y aceites,12
familia,1219,Solventes,12
familia,1235,Compuestos y mezclas,12
familia,1310,Caucho y elastómeros,13
familia,1311,Resinas y colofonias y otros materiales derivados de resina,13
familia,1410,Materiales de papel,14
familia,1411,Productos de papel,14
familia,1412,Papel para uso industrial,14
familia,1510,Combustibles,15
familia,1511,Combustibles gaseosos y aditivos,15
familia,1512,"Lubricantes, aceites, grasas y anticorrosivos",15
familia,1513,Combustible para reactores nucleares,15
